State1,State2
ALABAMA,Alabama
ARIZONA,Arizona
ARKANSAS,Arkansas
CALIFORNIA,California
COLORADO,Colorado
CONCTICUT,Connecticut
DELAWARE,Delaware
FLORIDA,Florida
GEORGIA,Georgia
IDAHO,Idaho
ILLINOIS,Illinois
INDIANA,Indiana
IOWA,Iowa
KANSAS,Kansas
KENTUCKY,Kentucky
LOUISIANA,Louisiana
MAINE,Maine
MARYLAND,Maryland
MASACUSET,Massachusetts
MICHIGAN,Michigan
MINNESOTA,Minnesota
MISISIPPI,Mississippi
MISSOURI,Missouri
MONTANA,Montana
NEBRASKA,Nebraska
NEVADA,Nevada
NEW HAMP,New Hampshire
NEWJERSEY,New Jersey
NEW MEXCO,New Mexico
NEW YORK,New York
NO CAROLN,North Carolina
NO DAKOTA,North Dakota
OHIO,Ohio
OKLAHOMA,Oklahoma
OREGON,Oregon
PENSLVANA,Pennsylvania
RHODE ISL,Rhode Island
S CAROLIN,South Carolina
S DAKOTA,South Dakota
TENNESSEE,Tennessee
TEXAS,Texas
UTAH,Utah
VERMONT,Vermont
VIRGINIA,Virginia
WASHNGTON,Washington
WEST VA,West Virginia
WISCONSIN,Wisconsin
WYOMING,Wyoming
